id,species,observed_on,place,user
101273089,Atlantic jackknife,2021-11-16,"North Atlantic Ocean, NJ, US",melissalaurino
101289557,Bottlenose Dolphins,2021-11-16,United States,melissalaurino
67796228,Long-tailed Duck,2021-01-08,"Virginia Beach, VA, USA",melissalaurino
207215029,Asian Lady Beetle,2024-04-14,"Cape Island, Cape May, NJ, US",melissalaurino
114686935,Marbled Scud,2022-04-30,"Shell Pile, Wildwood Crest, NJ, US",melissalaurino
104579318,Nurse Shark,2022-01-07,"Key Largo, Key Largo, FL, US",melissalaurino
102317945,Channeled Whelk,2021-12-01,"Shore Dr, Cape May, NJ, US",melissalaurino
67092179,Atlantic Grey Seal,2018-10-19,"Barcliff Avenue Ext, Chatham, MA, US",melissalaurino
67571120,Knobbed Whelk,2021-01-04,"Shell Pile, Cape May, NJ, US",melissalaurino
182826779,Goose Barnacle,2023-09-10,North Atlantic Ocean,melissalaurino
