id,species,observed_on,created_on,updated_on,place,user,latitude,longitude,url
267124187,Atlantic Menhaden,2022-09-20 13:14:00-04:00,2025-03-26 19:32:29-04:00,2025-03-29 08:15:34-04:00,"Sea Bright Beach, Sea Bright, NJ 07760, USA",yakgalnj2fl,40.3627164,-73.9724701,https://www.inaturalist.org/observations/267124187
266821671,Northern Diamondback Terrapin,2022-05-26 14:36:00-04:00,2025-03-24 19:14:06-04:00,2025-03-25 17:26:39-04:00,"New Jersey, US",ryman56,39.5764866551,-74.5043293632,https://www.inaturalist.org/observations/266821671
266821670,Northern Diamondback Terrapin,2022-05-26 14:33:00-04:00,2025-03-24 19:14:06-04:00,2025-03-25 17:26:39-04:00,"New Jersey, US",ryman56,39.5161951428,-74.5814538133,https://www.inaturalist.org/observations/266821670
266821669,Northern Diamondback Terrapin,2022-05-26 14:33:00-04:00,2025-03-24 19:14:06-04:00,2025-03-25 17:26:39-04:00,"New Jersey, US",ryman56,39.4712733003,-74.4252638918,https://www.inaturalist.org/observations/266821669
266802011,Atlantic Menhaden,2020-12-22 14:09:00-05:00,2025-03-24 16:47:49-04:00,2025-04-13 23:02:35-04:00,"Galloway, NJ, USA",ryman56,39.4590242296,-74.4355254427,https://www.inaturalist.org/observations/266802011
266799649,Atlantic Menhaden,2020-12-06 11:04:00-05:00,2025-03-24 16:29:09-04:00,2025-04-13 22:58:08-04:00,"Barnegat Light, NJ, USA",ryman56,39.7584198731,-74.0947765563,https://www.inaturalist.org/observations/266799649
263719683,Northern Diamondback Terrapin,2023-07-29 10:57:00-04:00,2025-03-02 23:03:08-05:00,2025-03-06 22:44:03-05:00,"New Jersey, US",bcur155,39.4807602687,-74.3723861002,https://www.inaturalist.org/observations/263719683
263719652,Mud Fiddler Crab,2023-07-29 08:31:00-04:00,2025-03-02 23:03:01-05:00,2025-04-11 00:47:22-04:00,"Little Egg Harbor Township, NJ, USA",bcur155,39.5773348271,-74.3447676091,https://www.inaturalist.org/observations/263719652
262907158,Northern Diamondback Terrapin,2022-03-26 16:41:04-04:00,2025-02-24 00:23:32-05:00,2025-02-24 11:42:05-05:00,"Cape May County, US-NJ, US",farragutroad,39.0598190542,-74.7320694482,https://www.inaturalist.org/observations/262907158
261884691,Northern Diamondback Terrapin,2024-06-24 16:16:00-04:00,2025-02-16 15:23:48-05:00,2025-02-17 19:25:06-05:00,"Cape May County, US-NJ, US",vinniemodesto,39.0509349049,-74.6954939346,https://www.inaturalist.org/observations/261884691
