song_name,average_ms_played
!!!!!!!,6773.565217391304
"""Impossible""",1088.0
"""In My Own Little Corner""",853.0
"""Stepsister's Lament""",13861.0
"""The Take Over, The Breaks Over""",20912.0
"""What a Great Holiday Song…"" - Live",38176.0
"#BDAY (feat. Chris Brown, Siya and Sage the Gemini)",217896.0
#Beautiful,12092.4
#GETITRIGHT,188032.51388888888
#SELFIE,64400.0
#thatPOWER,116712.75
$$$ - with Matt Ox,4365.0
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),46857.0
$money Mantra$,7174.0
&burn (with Vince Staples),52155.92307692308
'Round Midnight,58173.92857142857
'Tain't Nobody's Bizness If I Do,26173.0
'Til The Stars Come Out Again,30603.0
'Til You Can't,56459.5
'Till I Collapse,272695.0
(Drop Dead) Beautiful (feat. Sabi),162882.72222222222
(Everything I Do) I Do It For You,13874.666666666666
(Fuck A) Silver Lining,89513.44444444444
(Hey Why) Miss You Sometime,10285.0
(I Can't Get No) Satisfaction,173874.33333333334
(I Can't Get No) Satisfaction - Mono Version,15039.1875
(I Can't Help) Falling In Love With You,178053.59770114944
(I Got That) Boom Boom (feat. Ying Yang Twins),130609.94444444444
(I Had Thought About This In) March,4481.0
(I Just) Died In Your Arms,1665.5
(I'll Remember) In The Still Of The Night,127848.5
(I'm Not Your) Steppin' Stone - 2006 Remaster,8594.0
"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack",98704.33333333333
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",177473.68421052632
(I've Just Begun) Having My Fun - Non-Album Bonus Track,131768.77777777778
(It Goes Like) Nanana - Edit,34717.0
(It's) Hairspray,30030.4
(Just a) Simple Sponge,2368.0
(No More) Paddy's Lament,1191.3333333333333
(No One Knows Me) Like the Piano,218160.0
(Not) A Picture Perfect Girl,3506.0
(Not) The One,9722.333333333334
(O) Only You,1277.0
(One Helluva Performer),21942.0
"(Pick Me Up) Euphoria - From ""Euphoria"" An HBO Original Series",7500.0
(SMS) Bangerz - Live,131407.2962962963
"(Shake, Shake, Shake) Shake Your Booty",64173.333333333336
(Sittin' On) the Dock of the Bay,22735.727272727272
(Stop) Just Love,121933.0
(The Legend Of) Miss Baltimore Crabs,3369.5
(The Legend of) Miss Baltimore Crabs,14544.0
(There Is) No Greater Love,42987.22222222222
"(There Is) No Greater Love - Live, Janice Long Session, Miami/2008",4181.0
(There's Gotta Be) More To Life,124266.0
(They Long To Be) Close To You,2925.0
(This Ain’t No) Drunk Dial,210386.0
(Today I Met) The Boy I'm Gonna Marry,3865.5
(We've Got) Honey Love,15487.0
(What A) Wonderful World,71932.6
(You Can Call Me) Anytime,10560.0
(You Drive Me) Crazy,136626.0
(You Drive Me) Crazy - The Stop Remix!,128829.4
(You Drive Me) Crazy [The Stop Remix!] - Remastered,192146.11111111112
(You Make Me Feel Like) A Natural Woman,24630.625
(You Make Me Feel Like) a Natural Woman - Recorded at Spotify Studios NYC,8076.0
(You're) Timeless To Me,2451.3333333333335
(You're) Timeless to Me,10138.0
(Your Love Keeps Lifting Me) Higher & Higher,4295.0
(come On In) - The Whiskey's Fine,22896.0
*******,180898.2
***Flawless (feat. Chimamanda Ngozi Adichie),25658.0
"- Naiads, Cassadies",114714.38095238095
... Baby One More Time,187988.0
...Baby One More Time,145083.44186046513
...Baby One More Time - Davidson Ospina 2005 Mix,50595.0
...Baby One More Time - Davidson Ospina Radio Mix,103133.0
